data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_scaled;1;0.846544601532656;0.8822161706349956;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.8465413481270363;0.9292481930834396;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8465401738791144;0.9489369972348453;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;2;0.8465318639214572;0.8892923325884584;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8465129341197728;0.9345325118515978;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8464675296559951;0.9239066396387478;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;3;0.8464562115509728;0.8659961385109307;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;3;0.8464512546364413;0.8903616294591575;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;1;0.846412337292108;0.9234272044721538;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8464114645461962;0.95011316620361;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.8463922661612558;0.8881660728217285;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;1;0.8463761050559253;0.9235096429555775;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;1;0.8463751280190499;0.8836381983183555;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;4;0.8463644289341025;0.9634693573024661;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8463453515262118;0.8905578808444569;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8463383236013629;0.9226674350084867;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8463369291978455;0.8655303955557212;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8462967367085643;0.9507782705211802;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;2;0.8462934097910415;0.8889244441324166;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8462867667334398;0.9393165717147988;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;1;0.8462735649981067;0.8823091974733072;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;1;0.846223310287363;0.9479858163270126;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;2;0.8462198513357093;0.8626918494049635;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;3;0.846130709017777;0.9544314211353147;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;1;0.84612680342916;0.9510829251666957;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;3;0.8461215429532474;0.9661418880685098;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;2;0.8461129647935713;0.8888342463188829;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8459791769274649;0.8901202119406918;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8459577468607894;0.949932571753125;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;4;0.8459436889394273;0.8880582089811951;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;4;0.84593590693773;0.8873167749320602;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;3;0.8458639877338658;0.8628852265808368;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;1;0.8457814333316332;0.9484844702637859;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;1;0.8457508004178518;0.8833431918497311;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8457234777314812;0.8626024416977218;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;4;0.8456795646872307;0.8880321619642614;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;3;0.8455800287706066;0.9360274095132226;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;2;0.8455585256130232;0.928837110158713;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;4;0.8455464072925089;0.8668730633821583;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8455419682255889;0.8906070451888359;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;3;0.8455101871435561;0.9662899650971362;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;4;0.8454968535304067;0.9641377653315136;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;4;0.8454792698174839;0.8664295943413364;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;4;0.8454462067534164;0.935113650805223;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;2;0.8454229742625912;0.9463265970819336;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;1;0.8454090853364478;0.9282170110634466;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;4;0.8453527728132065;0.8652062644392596;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;4;0.8453391181454352;0.8871191773253108;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;1;0.8452911895537327;0.8649011024380392;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;2;0.8452848667667001;0.9306897488522378;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8452755849801908;0.8648632725694423;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.8452613969010879;0.9556194206544476;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;3;0.845175548298812;0.9663769644830579;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;1;0.8451277935941134;0.8637066129616461;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;1;0.8450857328777934;0.8651625167147147;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;4;0.8450804290099123;0.9346138509744137;0.01;7;200;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;2;0.8450766533863396;0.9587355474811047;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8450248333464364;0.8631629020095092;0.01;3;400;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8450020255697708;0.8831391861418941;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;4;0.8449051935215898;0.8892055851191185;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;4;0.8448677284584053;0.888512022042185;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;1;0.8448540513461507;0.8833789440186982;0.01;5;200;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8447940135313773;0.9349200009911515;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;2;0.8447706057404778;0.9558996070776157;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;3;0.8447450610629907;0.9402856868163051;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;4;0.8446859108365882;0.9355071793737202;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8444595669383884;0.9634234727981755;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;1;0.8443962671706248;0.9288993846445526;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;4;0.8443617605624245;0.9345757168029952;0.01;7;200;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8442251872243864;0.8620407716085651;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;1;0.8441915112449933;0.8604010892809928;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;4;0.8441850447203755;0.9652246323315167;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;4;0.8441441991121295;0.8617540598585078;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;4;0.8440523708019629;0.939621868745232;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8440090424859948;0.9678662294293933;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;2;0.8440026674870267;0.9570178661909465;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;4;0.84399547004219;0.9666417686938815;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;1;0.8439748186717708;0.860678692049893;0.01;3;400;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;3;0.8435200735717044;0.9659266452684151;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;1;0.8435198184109252;0.9480139260166478;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;2;0.8433842894442398;0.9587811416179058;0.01;7;600;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;4;0.8426587392404498;0.9373883709091663;0.01;7;200;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8425960508530805;0.9483290162318827;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;1;0.8425908999511355;0.9676145080830124;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;2;0.8425184721154683;0.9561733637690978;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;2;0.8424772172897186;0.9565056187437609;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;2;0.8420907673587252;0.9553285095841693;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.842054518094397;0.9753964571081952;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;3;0.8420446197497682;0.9653190602089271;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;1;0.8419390623488027;0.9776597934741148;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;3;0.8419387216632178;0.9650732663706943;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8418971993402687;0.9682994560291668;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;4;0.841890564056588;0.9629924767300285;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;2;0.8412152424235485;0.9554704916497396;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;3;0.8411098668748719;0.965018294621029;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;3;0.8409895227046114;0.9884614735244179;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;1;0.8409137628026424;0.975287564986537;0.1;5;200;40;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.8406681818293309;0.9560786966515109;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8406559951670688;0.9882016577368261;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8406365616024077;0.9673722665808207;0.1;3;600;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;1;0.8406216448774638;0.9670736426862513;0.1;3;600;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;1;0.8405392588372286;0.9763888888109232;0.1;5;200;40;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8402216544938902;0.9638549879953976;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;2;0.8402032584483021;0.9795417347147423;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;3;0.8401100216282388;0.9646979402395482;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;1;0.8395520948897089;0.9665886213885816;0.1;3;600;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_woe_scaled;2;0.8394560906310856;0.8516601169497884;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;3;0.8394484027561446;0.9831736822759446;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;4;0.8394083698738749;0.963810518949419;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;2;0.8392411198793759;0.8519140534627109;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;2;0.8391701324669545;0.8508926985628703;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.8389851941660162;0.979580847106492;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;2;0.838979223186598;0.8513449765288845;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;4;0.8389045249072745;0.9866757514994146;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;2;0.8388604696412002;0.8509515197804555;0.01;3;200;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;4;0.838623588153474;0.9639297495358035;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8386183904324144;0.9886754960320215;0.1;5;200;40;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;3;0.8385632322770302;0.8515515644027162;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;3;0.8384258962121633;0.8511151713263948;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8384157735606912;0.9620528698225814;0.1;3;400;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;3;0.8384070525364206;0.8508139408218091;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;3;0.8382772344722677;0.8509071756231551;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;2;0.8382108423117379;0.8503221001169231;0.01;3;200;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;4;0.837961586169727;0.9868929814502624;0.1;5;200;20;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;2;0.8379403724093338;0.9735786789948823;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;4;0.8377445605385699;0.9636793980708531;0.1;3;400;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 40}
_woe_scaled;2;0.8375823029067081;0.979286914049613;0.1;5;200;40;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;1;0.8375563166198972;0.8489947772568108;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;1;0.8375536971707006;0.9769215988992225;0.1;5;200;60;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;2;0.8375478068456044;0.9739161102701704;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;3;0.8375045786849518;0.8503327207871708;0.01;3;200;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;4;0.8372312798664161;0.8502165229430855;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;3;0.8371199054414173;0.8498104800132719;0.01;3;200;20;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;1;0.8369744550889888;0.966819229564674;0.1;3;600;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8369682525530788;0.8487878894688142;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8369020419763369;0.849438547357572;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;1;0.8367890506614677;0.8489869342960596;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8365902034447223;0.9768079407164788;0.1;5;200;60;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;2;0.83652620171087;0.9733470455128282;0.1;3;600;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;3;0.8365084628666448;0.9831679766744518;0.1;3;600;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;3;0.8364323607736668;0.9811800006308115;0.1;3;600;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 40}
_scaled;4;0.8364068934294162;0.8496035130117808;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;4;0.8363393682581648;0.8505330120172858;0.01;3;200;40;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_woe_scaled;4;0.8361938070447716;0.8498439258302178;0.01;3;200;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
